"type","age","N"
"237","DIGOTHR",88,4054
"238","DIGOTHR",58,7087
"239","DIGOTHR",95,778
"240","DIGOTHR",76,9708
"241","DIGOTHR",59,7377
"242","DIGOTHR",63,8480
"243","DIGOTHR",61,8024
"244","DIGOTHR",60,7538
"245","DIGOTHR",71,9785
"246","DIGOTHR",34,556
"247","DIGOTHR",51,4499
"248","DIGOTHR",96,584
"249","DIGOTHR",100,113
"250","DIGOTHR",56,6417
"251","DIGOTHR",49,3701
"252","DIGOTHR",45,2401
"253","DIGOTHR",55,6074
"254","DIGOTHR",52,4917
"255","DIGOTHR",32,428
"256","DIGOTHR",62,8269
"257","DIGOTHR",54,5443
"258","DIGOTHR",43,1861
"259","DIGOTHR",38,945
"260","DIGOTHR",97,366
"261","DIGOTHR",50,4180
"262","DIGOTHR",47,2967
"263","DIGOTHR",39,1140
"264","DIGOTHR",37,893
"265","DIGOTHR",42,1610
"266","DIGOTHR",46,2629
"267","DIGOTHR",33,519
"268","DIGOTHR",44,2106
"269","DIGOTHR",0,295
"270","DIGOTHR",9,26
"271","DIGOTHR",36,759
"272","DIGOTHR",28,257
"273","DIGOTHR",8,26
"274","DIGOTHR",1,220
"275","DIGOTHR",26,206
"276","DIGOTHR",22,113
"277","DIGOTHR",19,65
"278","DIGOTHR",35,676
"279","DIGOTHR",31,412
"280","DIGOTHR",18,50
"281","DIGOTHR",40,1286
"282","DIGOTHR",27,208
"283","DIGOTHR",24,147
"284","DIGOTHR",2,128
"285","DIGOTHR",10,26
"286","DIGOTHR",11,18
"287","DIGOTHR",98,253
"288","DIGOTHR",30,339
"289","DIGOTHR",101,52
"290","DIGOTHR",4,48
"291","DIGOTHR",29,290
"292","DIGOTHR",13,28
"293","DIGOTHR",16,35
"294","DIGOTHR",23,114
"295","DIGOTHR",99,144
"296","DIGOTHR",21,88
"297","DIGOTHR",14,32
"298","DIGOTHR",104,20
"299","DIGOTHR",17,43
"300","DIGOTHR",25,162
"301","DIGOTHR",6,33
"302","DIGOTHR",20,81
"303","DIGOTHR",15,42
"304","DIGOTHR",12,34
"305","DIGOTHR",5,45
"306","DIGOTHR",3,78
"307","DIGOTHR",102,32
"308","DIGOTHR",103,19
"309","DIGOTHR",7,24
"310","DIGOTHR",999,21
"311","DIGOTHR",105,4
"312","DIGOTHR",106,3
"313","DIGOTHR",107,2
"314","DIGOTHR",110,1
"315","DIGOTHR",108,1
"316","FEMGEN",53,7113
"317","FEMGEN",87,1999
"318","FEMGEN",60,8250
"319","FEMGEN",81,3784
"320","FEMGEN",59,7986
"321","FEMGEN",78,4824
"322","FEMGEN",79,4518
"323","FEMGEN",90,1177
"324","FEMGEN",65,8018
